text,label
这家餐厅味道太棒了服务也很贴心,1
物流速度很快包装也很好非常满意,1
电影剧情紧凑演员表现出色,1
这款手机续航很差一天都撑不到,0
客服回复太慢问题一直没有解决,0
产品质量不错做工扎实值得购买,1
体验非常糟糕页面总是卡死,0
这次旅行安排合理风景很美,1
房间有异味而且卫生一般,0
课程讲解清晰案例丰富收获很多,1
耳机音质一般低音发闷,0
售后态度很好主动帮我更换新品,1
应用经常闪退影响使用,0
价格实惠性价比很高,1
等待时间太长排队体验不好,0
书的内容深入浅出非常推荐,1
安装过程复杂说明书不清楚,0
界面设计简洁操作方便,1
电池发热严重有安全隐患,0
健身教练很专业训练效果明显,1
外观漂亮但性能达不到宣传,0
活动组织有序大家都很开心,1
音响杂音明显完全不值这个价,0
店员很热情购物体验愉快,1
配送员服务态度恶劣,0
学习资料实用可以直接上手,1
系统更新后bug更多了,0
早餐种类丰富口味也不错,1
画面模糊色彩失真严重,0
社区氛围友好互相帮助,1
退款流程顺畅到账很快,1
充电接口松动经常接触不良,0
客服耐心解答让我放心下单,1
广告太多而且无法关闭,0
酒店位置便利出行很方便,1
噪音太大晚上根本睡不着,0
功能齐全稳定性也很好,1
材质廉价使用两天就坏了,0
整体体验超出预期下次还会再来,1
宣传和实际差距太大令人失望,0
